1;5;4
2;1;5
3;5;4
4;6;2
5;2;2
6;8;2
7;1;5
8;4;7
9;6;2
10;2;7
11;5;4
12;1;5
13;5;4
14;1;5
15;5;4
16;5;4
17;5;4
18;1;5
19;5;4
20;1;5
21;9;7
22;1;3
23;7;7
24;6;9
25;3;8
26;7;6
27;2;5
28;8;8
29;5;4
30;3;1
31;4;6
32;1;1
33;8;8
34;4;3
35;6;6
36;9;1
37;5;5
38;6;8
39;9;1
40;5;5
41;6;8
42;3;3
43;3;6
44;6;3
45;4;4
46;4;4
47;9;7
48;3;8
49;6;2
50;6;2
51;2;7
52;6;9
53;1;5
54;5;4
55;2;2
56;2;7
57;6;2
58;8;2
59;9;7
60;1;3
61;7;7
62;6;9
63;3;8
64;7;6
65;2;5
66;8;8
67;5;4
68;5;4
69;6;2
70;6;2
71;6;2
72;5;1
73;6;9
74;4;6
75;9;1
76;6;9
77;2;2
78;2;2
79;2;2
80;2;2
81;2;2
82;2;2
83;1;3
84;2;5
85;1;5
86;5;4
87;2;7
88;6;2
89;8;2
90;8;2
91;5;5
92;6;8
93;9;7
94;6;8
95;3;1
96;7;6
97;7;6
98;7;6
99;5;4
100;5;1
